content,score
bagus dan sangat membantu sangat di rekomendasi kan untuk belajar,5
seru sekali jadi bikin saya bisa belajar bahasa apapun,5
apk ini bagus pelajaran yang di dapatkan detail,5
saya beri 4 Strar duluh soal Belum lekap,4
aplikasi nya cocok untuk orang yang mau belajar bahasa asing,5
"belajar seruu dan asiik, cuma hrs berbayar kl mau bebas iklan",4
ini sangat bagus dan menghibur! saya sekarang fasih dalam bahasa Inggris!! 😊,5
very happy,5
sangat bagus untuk meningkatkan kemampuan,5
bagus banget,5
ini sangat bagus,5
app duolingo sudah cukup bagus aku suka belajar di bualingo,5
bagus buat belajar anak Ok,5
"bagus, saya jadi makin pinter bahasa inggrisnya best!!",5
sangat bagus dan mudah paham,5
"aplikasinya sih Bagus untuk belajar bahasa dan untuk saat ini sdh lumayan dikurangi iklannya sih, tp kurangnya di pas kl mau add teman katanya jaringan error tp kl buka YouTube, tiktok, ig lancar aj tuh sama kl pengikutnya di kabarnya bertambah tp di profil tdk otomatis bertambah pengikutnya,notifikasi ada pengikut baru telat setelah keesokan harinya ato beberapa hari kemudian baru muncul kl email dari duolingo cpt bgt tp kok kl diaplikasinya lelet",3
"duolingo aplikasi yang sangat bagus,, membantu saya untuk belajar banyak bahasa ,, pokok nya saya suka Duolingo 💓",5
aku menjadi lebih mahir berbahasa english dibandingkan diriku sepuluh hari yang lalu,5
baguss banget..,5
"karna seru,aku jadi bisa memenuhi bahasa inggris",5
mantap duolingo salah satu aplikasi yang mempelajari berbagai bahasa negara apapun dan dibimbing gratis dari nol sampai mahir / bisa lancar terima kasih duolingo💗💗💗💗,5
ini bagus sedikit² kamu bakal bisa bahasa/lainnya kamu bakal jadi jago,5
aplk ini sangat bagus,5
bagus untuk belajar beberapa bahasa,5
"bagusss banget 😍😍aplikasih nya ,soalnya aku belajar bahasa inggris di apliakasih Duolingi ini 🖒🖒🖒,tapi kenapa hanya satu kita pilih untuk belajarnya ,aku mohon semoga aplikasihnya di upgreb agar bisa memilih bahasa 2 sekaligus🤗",5
"Nice App For learning another language, Thanks Dev 💪💪",5
Sangat bagus dan membantu sekaliii,5
seru dan gak membosankan sama bikin semangat belajar,4
"menarik, mudah di pahami",5
sangat berguna untukku bagi pelajarrr,5
sangat bagus,5
"Aplikasi nya bagus bangetttt buat belajar bahasa asing,aku sekarang udah mulai bisa bahasa Inggris....debest banget deh pokoknyaaa😍😍😍😍",5
Nice,5
terimakasih duo saya jadi lebih mengerti mengenai bahasa bahasa inggris,5
excellent,5
nice broohh🗿🫵,5
"siippp, mudah dipahami dan dimengerti",5
luar biasa saya suka,5
belajaran nya bagus banget,5
"mantap cuy, belajar sambil bermain",5
mantap,5
mengajar saya dalam bahasa Inggris itu sangat mudah renting 5 buat duolingo,5
"sangat menyenangkan, saya suka",5
bagus buat pemula,5
bagus banget,5
Apk nya bagus untuk pemula👍👍,5
bagus buat belajar bahasa,5
duolingo itu seru kita bisa bermain dan belajar,5
keren,5
"hmm aku suka dia selalu mengingatkan saya untuk berlatih dan saya sekarang mengerti bahasa inggris! makasih,duolingo!",5
mantap,5
"aplikasi ny bagus dan bisa buat belajar bahasa, semoga update nya lebih bagus lagi dari sebelumnya 🙏🏻",5
baguss,5
bagus bisa mempelajari saya sedikit sedikit bisa bahasa inggris aku suka banget👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
keren cara belajarnya rekomen banget sih,5
duo linggo sangat membantu saya dalam belajar bahasa Inggris,5
sangat bagus,5
aplikasi pembelajaran bahasa yang sangat bagus dan menarik. saya suka✨,5
mengandung konten lgbt,1
bagusss bngtt,1
"aku suka sama aplikasi ini, karena aplikasi ini aku bisa belajar bahasa Jepang dengan mudah dan lancar.",5
gem nya santai dan sangat bermanfaat,4
Bgus,5
sangat bagus aplikasi ini untuk kalian yang mau mempelajari bahasa-bahasa Negara lain.,5
"belajar b.Inggris jdi lbih mudah, recomended.",5
pelajaran nya seru banget bikin kita lebih senang belajar,5
sangat bermanfaat untuk saya,5
"bagus banget, mau belajar berbagai bahasa jadi mudah banget",5
saya kasih bintang 3 karena yg matematika gk ada cara menjawab sehingga kebiyungan tolong tambahin fitur cara menjawab mtk apk bagus banget seru kalok udh ada fitu cara menjawab soal kasih bintang 5,3
sya bisa mkin fokus belajar dan mengisi waktu luang saya,5
menyenangkan,5
apk bagus tp ada bagian dimana percakapannya mengajarkan untuk menyukain sesama jenis saya bener² kecewa sih,1
KEREN! INI SANGAT MEMBANTU!,5
saya sangat suka 😍,5
dapat membantu pelajaran bahasa,5
sebenarnya seru tapi karena banyak iklan jadi males,4
gut,5
seru banget,5
aplikasinya seru untuk belajar 👍😁,5
bagus banget,5
banguss,5
sangat menyenangkan,5
Baguss,5
sangat bagus buat belajar bahasa Inggris,5
😎😎😎😎😎😎😎good for yall brain😎😎😎😎😎😎😎😎😎,5
bagus banget,4
good,4
bagus bangat,3
sangatt luarr biasaaa,5
good I'm quite able to study veryy good 👍🤓,5
"sangat membantu, jadi lebih mengetahui kosa kata baru",5
A BUG So we if touched the note is that a bug duolingo?,1
Iklannya terlalu banyak. Setiap selesai stage iklan. Refill energy iklan terus cuman dapet satu energy.,1
"seru banget,",4
kalau bisa ada filtur chat dengan teman 🙏🏻 terimakasih duolingo,4
hebat,5
sangat bagus,5
game ini sangat membantu saya untuk mengasah skill bahasa saya,5
bagus,5
Terimakasih udh it aj,5
very interesting,5
Dengan ini saya lancar bahasa Inggris dan Matematika,5
aplikasi belajar bahasa ini sangat bagus bangat,5
sangat membantu 👍,5
Good,5
"tidak terlalu seru,beda dengan sebelumnya saya sudah pernah main duolingo dulu seru daftar tinggal kasih nama, sekarang tidak terlalu seru karna daftar pake kata sandi sama email",3
good,5
seruu dan membuat aku lancar b.inggiris pokoknya bagus deh permainan nya GK terlalu sulit dan GK ada iklan nya juga ☺️☺️,5
"untuk belajar bahasa inggris nya bagus, tapi kalau kosa katanya hanya itu-itu saja, jadi nya bosan untuk mengerjakan nya, walaupun hanya sekedar contoh",5
sangat bermanfaat bagi yang baru belajar,5
membantu orang yg sedang belajar bahasa Inggris,5
mantap,5
This tool is best for learning English,5
sangat membantu,5
agak gampang dan seru tapi sayangnya kalo voice nya agak gak kedengeran padahal udh benerr lohh anjir,4
"Kenapa di dana saya otomatis berlangganan, saya sudah memohon pengembalian dana untuk itu karena saya tidak ada niat untuk berlangganan, mohon untuk di tindak lanjut kan yah...",3
mantap,5
"soalnya udh bener malah salah, soalnya aneh dan tifaka ada jawabannya, lalu saat pesan suara selalu tidak terdengar, maaf jadi saya kasih ranting 2",2
membantu kita dalam pembelajaran,5
menyenangkan,5
bagus,5
aku sekarang udah bisa bahasa Inggris dan nilai saya seratus💯 gara gara Duolingo aku suka sekali sama aplikasi ini Terima kasih Duolingo 🌷🥳,5
aku berkembang sekali setelah belajar disini,5
"aku sangat suka,,aku bisa bahasa inggris dari duolingo",5
bagus,5
makasih saya sudah bisa jadi bahasa Inggris,5
"bagus bangettt aku jadi lancar bahasa lainn,, kurangnya sih cuman penutur bahasa Indonesia gak bnyak pilihan bahasa😓",4
"good job, Aplikasi rokemend buat belajar, apalagi buat usia dini,buat anak bermain cocok bangettttt , intinya disiplin 👏👏👏👏👏👏👏👏👏👍👍👍👍👍",5
sangat membatu pemula yang ingin belajar bahasa,5
"this application is amazing, the Animation very well. so don't forget to install this one",5
aplikasi ini bisa membantu saya berbicara dalam bahasa inggris,5
sangat menolong sekali berinteraksi dalam game sambil belajar bahasa,5
apknya sangat bagus mempermudah saya untuk belajar bahasa,5
"saya suka cara pembelajaran di Aplikasi ini, dan pelajaran nya mudah dimengerti, cocok untuk saya yang ingin belajar bahasa inggris",5
kerja bagus,5
"saya sangat suka aplikasi nya,sangat membantu saya dalam memahami berbagai bahasa(⁠≧⁠▽⁠≦⁠)",5
waw bgus bgt,5
sangat membantu saya dalam bljr bahasa Inggris 🤩,5
BAGUS,5
bagus dan recomended...,4
"kerennn, membantu aku belajar bahasa",5
Aplikasi bagus dan berhasil mengajari saya bahasa termakasih,5
saya bisa belajar bahasa inggris dengan mudah dan cepat ini sangat membantu,5
"Duolingo sangat berguna sekali, sangat bagus untuk belajar bahasa!",5
